"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE,SSCI Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
7611,Clinical Nursing Research,787,1.538,0.001040
7611,Clinical Nursing Research,787,1.538,0.001040
7611,International Journal of Consumer Studies,"2,952",1.538,0.002100
7611,JOURNAL OF SWINE HEALTH AND PRODUCTION,502,1.538,0.000370
7611,Journal of Photonics for Energy,670,1.538,0.001220
7611,Voluntas,"1,965",1.538,0.002520
7617,ANNALS OF APPLIED PROBABILITY,"3,379",1.537,0.011360
7617,BRITISH POULTRY SCIENCE,"5,434",1.537,0.002160
7617,JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,"8,246",1.537,0.002730
7617,RUBBER CHEMISTRY AND TECHNOLOGY,"3,435",1.537,0.000610
7621,ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY,"1,973",1.536,0.001220
7621,COLLOID AND POLYMER SCIENCE,"6,782",1.536,0.004430
7621,JOURNAL OF PHYSICAL ORGANIC CHEMISTRY,"2,641",1.536,0.001680
7624,ANNALS OF HUMAN BIOLOGY,"2,224",1.535,0.002590
7624,ANNALS OF HUMAN BIOLOGY,"2,224",1.535,0.002590
7624,Feminist Criminology,535,1.535,0.000600
7624,GEOLOGICA CARPATHICA,"1,201",1.535,0.000960
7624,I-Perception,774,1.535,0.001990
7624,MICROELECTRONICS RELIABILITY,"7,093",1.535,0.007200
7624,North American Journal of Economics and Finance,"1,096",1.535,0.001440
7624,PSYCHOLOGICAL REPORTS,"6,315",1.535,0.002400
7632,ADVANCES IN PHYSIOLOGY EDUCATION,"1,634",1.534,0.001620
7632,GEOFLUIDS,"2,053",1.534,0.002770
7634,ADVANCED NONLINEAR STUDIES,778,1.533,0.003100
7634,ANNALS ACADEMY OF MEDICINE SINGAPORE,"2,508",1.533,0.001110
7634,Balkan Medical Journal,622,1.533,0.001290
7634,European Management Review,748,1.533,0.000440
7634,Journal of Burn Care & Research,"2,939",1.533,0.004440
7634,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,"2,894",1.533,0.002270
7634,PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART K-JOURNAL OF MULTI-BODY DYNAMICS,676,1.533,0.000660
7641,EXPERIMENTAL AND APPLIED ACAROLOGY,"3,616",1.532,0.003310
7641,JOURNAL OF ECONOMIC HISTORY,"2,432",1.532,0.002990
7641,Journal of Computational Electronics,"1,433",1.532,0.002350
7641,SALAMANDRA,406,1.532,0.000650
7641,Sexualities,"1,444",1.532,0.002380
7641,VITIS,"1,467",1.532,0.000500
7647,CONSTRUCTIVE APPROXIMATION,"1,370",1.531,0.002680
7647,INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,"3,280",1.531,0.001450
7647,Proceedings of the Institution of Mechanical Engineers Part M-Journal of Engineering for the Maritime Environment,664,1.531,0.000820
7647,Professional Development in Education,780,1.531,0.000860
7651,ACM Transactions on Embedded Computing Systems,"1,396",1.530,0.002510
7651,CLINICAL NEUROLOGY AND NEUROSURGERY,"6,142",1.530,0.009390
7651,DENTAL TRAUMATOLOGY,"1,925",1.530,0.001530
7651,European Constitutional Law Review,448,1.530,0.000700
7655,IMA Journal of Management Mathematics,440,1.529,0.000880
7655,IMA Journal of Management Mathematics,440,1.529,0.000880
7655,JOURNAL OF PLANT BIOLOGY,"1,320",1.529,0.001560
7655,JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,"1,680",1.529,0.001230
7655,Minerva Endocrinologica,577,1.529,0.000620
7655,REVIEW OF ECONOMIC DYNAMICS,"1,960",1.529,0.007410
7661,ANNALS OF MICROBIOLOGY,"2,831",1.528,0.002990
7661,EMERGENCY MEDICINE CLINICS OF NORTH AMERICA,"1,155",1.528,0.002010
7661,INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING,"1,361",1.528,0.001640
7661,Zeitschrift fur Psychologie-Journal of Psychology,792,1.528,0.001180
7665,BIOLOGICAL BULLETIN,"4,732",1.527,0.001590
7666,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,"3,588",1.526,0.020260
7666,Journal of Plant Diseases and Protection,645,1.526,0.000840
7666,LANGUAGE,"4,120",1.526,0.001860
7666,Psychology of Learning and Motivation,"1,939",1.526,0.001240
7670,Eksploatacja i Niezawodnosc-Maintenance and Reliability,854,1.525,0.000790
7670,SCANDINAVIAN JOURNAL OF CARING SCIENCES,"3,120",1.525,0.002900
7670,Semiconductors and Semimetals,603,1.525,0.000560
7670,Vocations and Learning,311,1.525,0.000240
7674,AIDS EDUCATION AND PREVENTION,"1,586",1.524,0.001860
7674,DESIGNS CODES AND CRYPTOGRAPHY,"2,212",1.524,0.008390
7674,Geotechnique Letters,692,1.524,0.002220
7674,Horticultural Plant Journal,212,1.524,0.000400
7678,CRIMINAL JUSTICE AND BEHAVIOR,"3,807",1.523,0.003670
7678,INDIAN JOURNAL OF DERMATOLOGY,"1,716",1.523,0.002500
7678,Journal of Contextual Behavioral Science,662,1.523,0.001520
7681,PERSONAL RELATIONSHIPS,"2,522",1.522,0.001680
7682,CALCOLO,733,1.521,0.002000
7682,CHILDREN AND YOUTH SERVICES REVIEW,"7,875",1.521,0.010380
7682,Eye & Contact Lens-Science and Clinical Practice,"1,879",1.521,0.002760
7682,International Journal of Micro Air Vehicles,252,1.521,0.000400
7682,JOURNAL OF ATMOSPHERIC CHEMISTRY,"1,734",1.521,0.000770
7682,Journal of Deaf Studies and Deaf Education,"1,612",1.521,0.001110
7682,SOLID STATE COMMUNICATIONS,"16,409",1.521,0.005150
7689,Canadian Journal of Infectious Diseases & Medical Microbiology,"1,117",1.520,0.001740
7689,Journal of Agricultural Education & Extension,511,1.520,0.000450
7689,OPTIMIZATION,"1,939",1.520,0.005100
7689,Reaction Kinetics Mechanisms and Catalysis,"1,798",1.520,0.002180
7693,ARCHAEOMETRY,"3,224",1.519,0.001960
7693,Chemistry of Heterocyclic Compounds,"3,103",1.519,0.002150
7693,ENVIRONMENTAL BIOLOGY OF FISHES,"6,265",1.519,0.003730
7693,EVALUATION AND PROGRAM PLANNING,"2,348",1.519,0.002440
7697,CAREER DEVELOPMENT QUARTERLY,"1,077",1.518,0.000950
7697,International Journal of Performance Analysis in Sport,"1,419",1.518,0.001710
7697,Public Health Genomics,682,1.518,0.001130
7697,Public Health Genomics,682,1.518,0.001130
7701,MATERIALE PLASTICE,"1,240",1.517,0.000590
7702,BIOSCIENCE BIOTECHNOLOGY AND BIOCHEMISTRY,"13,157",1.516,0.006560
7702,Consumption Markets & Culture,853,1.516,0.001020
7702,IET Computer Vision,990,1.516,0.001650
7702,Inland Waters,749,1.516,0.001730
7702,JOURNAL OF COMMUNITY HEALTH,"3,011",1.516,0.005130
7702,JOURNAL OF COMPARATIVE PHYSIOLOGY A-NEUROETHOLOGY SENSORY NEURAL AND BEHAVIORAL PHYSIOLOGY,"5,007",1.516,0.003390
7702,NEW ZEALAND JOURNAL OF ECOLOGY,"1,131",1.516,0.000910
7709,KSCE Journal of Civil Engineering,"3,754",1.515,0.005350
7709,SPORT PSYCHOLOGIST,"1,856",1.515,0.001020
7709,SPORT PSYCHOLOGIST,"1,856",1.515,0.001020
7709,Turkish Studies,653,1.515,0.001120
7713,Advances in Clinical and Experimental Medicine,"1,587",1.514,0.003250
7713,Andean Geology,456,1.514,0.000670
7713,Clinical Respiratory Journal,"1,443",1.514,0.003790
7716,FOOD SCIENCE AND BIOTECHNOLOGY,"3,674",1.513,0.003930
7716,INTERNATIONAL JOURNAL OF PERIODONTICS & RESTORATIVE DENTISTRY,"3,638",1.513,0.002720
7716,PROTEIN EXPRESSION AND PURIFICATION,"4,912",1.513,0.003630
7716,Taiwanese Journal of Obstetrics & Gynecology,"1,746",1.513,0.003050
7720,ANATOMICAL SCIENCE INTERNATIONAL,710,1.512,0.001120
7720,Chiropractic & Manual Therapies,521,1.512,0.000850
7720,ENVIRONMENTAL FLUID MECHANICS,"1,185",1.512,0.001910
7720,Educational Measurement-Issues and Practice,847,1.512,0.000970
7720,Interdisciplinary Sciences-Computational Life Sciences,500,1.512,0.000590
7720,JOURNAL OF RISK AND INSURANCE,"1,987",1.512,0.001810
7720,MODERN LAW REVIEW,"1,415",1.512,0.001120
7720,PATTERN ANALYSIS AND APPLICATIONS,"1,197",1.512,0.001460
7720,RADIATION MEASUREMENTS,"5,908",1.512,0.004150
7720,Research in Astronomy and Astrophysics,"2,109",1.512,0.005070
7730,ANTHROZOOS,"1,854",1.511,0.001110
7730,ANTHROZOOS,"1,854",1.511,0.001110
7730,HEALTH CARE ANALYSIS,512,1.511,0.000580
7730,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,"7,740",1.511,0.005080
7730,Journal on Multimodal User Interfaces,345,1.511,0.000660
7730,Migration Studies,315,1.511,0.000990
7730,TRIBOLOGY TRANSACTIONS,"3,742",1.511,0.002540
7737,ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,"6,051",1.510,0.002730
7737,Acta Otorhinolaryngologica Italica,"1,640",1.510,0.001820
7737,Arthropod Systematics & Phylogeny,342,1.510,0.000790
7737,Current Sports Medicine Reports,"1,542",1.510,0.002050
7737,ICON-INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,978,1.510,0.001300
7737,JOURNAL OF AOAC INTERNATIONAL,"5,401",1.510,0.003470
7737,MATHEMATICAL INEQUALITIES & APPLICATIONS,"1,093",1.510,0.002270
7737,Public Performance & Management Review,"1,002",1.510,0.000910
7745,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,"5,866",1.509,0.003500
7745,COMPTES RENDUS MECANIQUE,"1,632",1.509,0.001850
7745,JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,"1,341",1.509,0.002170
7745,JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE,"1,341",1.509,0.002170
7745,PLANT ECOLOGY,"5,875",1.509,0.003810
7745,ROBOTICA,"2,221",1.509,0.002050
7751,INDIAN JOURNAL OF PEDIATRICS,"3,066",1.508,0.002810
7751,Mobile Information Systems,"1,011",1.508,0.001860
7751,PROGRESS IN NUCLEAR ENERGY,"3,492",1.508,0.007270
7754,CLAYS AND CLAY MINERALS,"5,383",1.507,0.001010
7754,Computers and Concrete,"1,238",1.507,0.001250
7754,Critical Sociology,"1,158",1.507,0.002660
7754,Paediatrics & Child Health,"1,722",1.507,0.002240
7758,JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,"1,924",1.506,0.002830
7758,JOURNAL OF COMPUTER SCIENCE AND TECHNOLOGY,"1,164",1.506,0.001890
7758,Journal of Cardiothoracic Surgery,"2,089",1.506,0.004210
7761,Iranian Journal of Pharmaceutical Research,"2,715",1.505,0.002650
7761,NONLINEARITY,"5,192",1.505,0.014370
7761,PS-POLITICAL SCIENCE & POLITICS,"2,426",1.505,0.003580
7764,BRAIN & DEVELOPMENT,"3,904",1.504,0.003990
7764,BioInvasions Records,485,1.504,0.001050
7764,Early Education and Development,"2,194",1.504,0.002610
7764,JOURNAL OF THE INSTITUTE OF BREWING,"2,500",1.504,0.001480
7764,Journal of Advanced Prosthodontics,957,1.504,0.001590
7764,Journal of Hand Therapy,"1,656",1.504,0.001420
7770,Female Pelvic Medicine and Reconstructive Surgery,"1,034",1.503,0.002770
7770,INDIAN JOURNAL OF MEDICAL RESEARCH,"6,214",1.503,0.005160
7770,JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,"6,362",1.503,0.005850
7773,COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING,"2,615",1.502,0.004750
7773,Optimization Letters,"1,533",1.502,0.004900
7775,AMERICAN JOURNAL OF EDUCATION,"1,167",1.500,0.001030
7775,Advances in Child Development and Behavior,726,1.500,0.001000
7775,Annals of Clinical Psychiatry,"1,008",1.500,0.000880
7775,Annals of Clinical Psychiatry,"1,008",1.500,0.000880
7775,Annals of Forest Research,263,1.500,0.000420
7775,Applicable Analysis and Discrete Mathematics,388,1.500,0.001210
7775,BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE,"2,395",1.500,0.000600
7775,COLORATION TECHNOLOGY,"1,310",1.500,0.000690
7775,Communications in Mathematics and Statistics,175,1.500,0.001170
7775,Diving and Hyperbaric Medicine,404,1.500,0.000490
7775,Economic Change and Restructuring,245,1.500,0.000130
7775,Educational Studies in Mathematics,"2,670",1.500,0.001340
7775,European Journal of Paediatric Dentistry,896,1.500,0.000680
7775,International Journal of Peptide Research and Therapeutics,718,1.500,0.000770
7775,Italian Journal of Agronomy,660,1.500,0.000630
7775,JOURNAL OF APPLIED BEHAVIORAL SCIENCE,"1,706",1.500,0.000880
7775,JOURNAL OF MARINE RESEARCH,"2,719",1.500,0.000620
7775,JOURNAL OF PUBLIC HEALTH POLICY,"1,011",1.500,0.001430
7775,JOURNAL OF PUBLIC HEALTH POLICY,"1,011",1.500,0.001430
7775,Journal of Pipeline Systems Engineering and Practice,420,1.500,0.000670
7775,Journal of Women Politics & Policy,312,1.500,0.000870
7775,Lifestyle Genomics,16,1.500,0.000040
7775,NEW LEFT REVIEW,"2,444",1.500,0.001970
7775,OPHTHALMIC EPIDEMIOLOGY,"1,775",1.500,0.002360
7775,POLITICAL SCIENCE QUARTERLY,"1,269",1.500,0.000950
7775,Palaeontographica Abteilung B-Palaeophytologie Palaeobotany-Palaeophytology,708,1.500,0.000140
7775,Philosophy Ethics and Humanities in Medicine,300,1.500,0.000290
7775,Philosophy Ethics and Humanities in Medicine,300,1.500,0.000290
7775,Police Quarterly,925,1.500,0.000850
7775,World Trade Review,333,1.500,0.000800
7805,Silicon,"1,170",1.499,0.001290
7806,THEORETICAL CHEMISTRY ACCOUNTS,"7,334",1.498,0.003480
7807,JOURNAL OF FISH BIOLOGY,"15,143",1.497,0.009390
7807,SUBSTANCE USE & MISUSE,"4,186",1.497,0.007260
7807,SUBSTANCE USE & MISUSE,"4,186",1.497,0.007260
7810,BERNOULLI,"2,511",1.496,0.010680
7810,Biofuels-UK,"1,129",1.496,0.000940
7810,JOURNAL OF FUNCTIONAL ANALYSIS,"10,915",1.496,0.027400
7813,HIGH ALTITUDE MEDICINE & BIOLOGY,"1,177",1.495,0.001310
7813,Journal of Pediatric Nursing-Nursing Care of Children & Families,"2,351",1.495,0.003410
7813,Journal of Pediatric Nursing-Nursing Care of Children & Families,"2,351",1.495,0.003410
7813,LABORATORY ANIMALS,"2,345",1.495,0.002130
7813,Natural Computing,797,1.495,0.001260
7818,ADVANCES IN MATHEMATICS,"10,705",1.494,0.045710
7818,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,"2,236",1.494,0.002050
7818,International Journal of Information Security,620,1.494,0.000750
7818,JOURNAL OF COMPUTER AND SYSTEM SCIENCES,"4,171",1.494,0.003780
7818,MOUNTAIN RESEARCH AND DEVELOPMENT,"2,078",1.494,0.001220
7823,CYTOPATHOLOGY,"1,082",1.493,0.001450
7823,Emu-Austral Ornithology,"1,208",1.493,0.001230
7825,AUSTRALIAN JOURNAL OF EARTH SCIENCES,"2,889",1.492,0.001810
7825,MEASUREMENT & CONTROL,350,1.492,0.000170
7827,Advances in Meteorology,"2,072",1.491,0.004400
7827,QUANTITATIVE FINANCE,"2,520",1.491,0.004740
7827,QUANTITATIVE FINANCE,"2,520",1.491,0.004740
7830,ANNALES GEOPHYSICAE,"5,513",1.490,0.004510
7830,CALIFORNIA AGRICULTURE,879,1.490,0.000600
7830,CLINICAL OBSTETRICS AND GYNECOLOGY,"2,539",1.490,0.002860
7830,IMA JOURNAL OF APPLIED MATHEMATICS,"1,461",1.490,0.002100
7830,INTERNATIONAL JOURNAL OF PROSTHODONTICS,"3,675",1.490,0.002370
7830,JOURNAL OF CARDIAC SURGERY,"2,054",1.490,0.003010
7830,JOURNAL OF PUBLIC HEALTH MANAGEMENT AND PRACTICE,"1,955",1.490,0.003660
7830,Journal of Pediatric Health Care,"1,336",1.490,0.001950
7830,Journal of Pediatric Health Care,"1,336",1.490,0.001950
7830,Journal of Zhejiang University-SCIENCE A,"1,804",1.490,0.001660
7830,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,"4,793",1.490,0.002850
7830,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,"4,482",1.490,0.007570
7830,SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,454,1.490,0.000360
7843,ANNALES HENRI POINCARE,"1,490",1.489,0.007500
7843,ASTRONOMY LETTERS-A JOURNAL OF ASTRONOMY AND SPACE ASTROPHYSICS,"1,273",1.489,0.001570
7843,EXPERIMENTAL ASTRONOMY,873,1.489,0.001850
7843,PEDIATRIC EXERCISE SCIENCE,"1,987",1.489,0.002220
7847,Applied Neuropsychology-Adult,557,1.488,0.001620
7847,Ecological Chemistry and Engineering S-Chemia I Inzynieria Ekologiczna S,597,1.488,0.000430
7847,MARINE AND FRESHWATER RESEARCH,"5,025",1.488,0.004880
7847,STATISTICAL MODELLING,675,1.488,0.002180
7851,ANIMAL BIOTECHNOLOGY,583,1.487,0.000630
7851,EUROPEAN JOURNAL OF APPLIED MATHEMATICS,966,1.487,0.001770
7851,Marine Biodiversity,"1,379",1.487,0.002830
7851,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,908,1.487,0.001010
7851,PHYSICAL & OCCUPATIONAL THERAPY IN PEDIATRICS,908,1.487,0.001010
7856,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,"2,490",1.486,0.002660
7856,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,"2,490",1.486,0.002660
7856,AUSTRALIAN JOURNAL OF PSYCHOLOGY,"1,050",1.486,0.000980
7856,INTERNATIONAL JOURNAL OF MODERN PHYSICS A,"5,753",1.486,0.008060
7856,International Journal on Document Analysis and Recognition,518,1.486,0.000630
7856,JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK,"6,241",1.486,0.013770
7856,JOURNAL OF POLICY MODELING,"1,859",1.486,0.001390
7863,European Educational Research Journal,880,1.485,0.000980
7863,Explore-The Journal of Science and Healing,836,1.485,0.000950
7863,FOOD AND NUTRITION BULLETIN,"2,943",1.485,0.002750
7863,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,"5,613",1.485,0.004160
7863,LIBRARY & INFORMATION SCIENCE RESEARCH,"1,173",1.485,0.000680
7863,TOXICOLOGIC PATHOLOGY,"5,421",1.485,0.002750
7869,Critical Care Nurse,981,1.484,0.001190
7869,Critical Care Nurse,981,1.484,0.001190
7869,JOURNAL OF CURRICULUM STUDIES,"1,709",1.484,0.000940
7869,JOURNAL OF HETEROCYCLIC CHEMISTRY,"6,027",1.484,0.003120
7869,REHABILITATION PSYCHOLOGY,"1,971",1.484,0.002180
7874,ACI MATERIALS JOURNAL,"5,757",1.483,0.001940
7874,AUSTRALIAN GEOGRAPHER,905,1.483,0.000740
7874,DISCOURSE STUDIES,"1,319",1.483,0.001040
7874,European Physical Journal H,182,1.483,0.000400
7874,JOURNAL OF EDUCATION FOR TEACHING,951,1.483,0.001140
7879,GENDER AND EDUCATION,"1,563",1.482,0.001600
7879,International Journal of Advanced Robotic Systems,"2,670",1.482,0.003350
7879,LC GC EUROPE,339,1.482,0.000330
7882,COMPARATIVE POLITICS,"1,928",1.481,0.002320
7882,Ostomy Wound Management,"1,221",1.481,0.000930
7882,PHYSICA STATUS SOLIDI B-BASIC SOLID STATE PHYSICS,"10,437",1.481,0.007780
7882,Technology Pedagogy and Education,487,1.481,0.000620
7886,BMC EMERGENCY MEDICINE,771,1.480,0.001540
7886,REVIEW OF SCIENTIFIC INSTRUMENTS,"30,242",1.480,0.035580
7886,Sex Education-Sexuality Society and Learning,889,1.480,0.001240
7889,GEOMETRY & TOPOLOGY,"1,759",1.479,0.011680
7889,INTERVENTIONAL NEURORADIOLOGY,"1,482",1.479,0.002690
7889,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,596,1.479,0.000480
7892,CHIMIA,"1,689",1.478,0.002090
7892,ECONOMICA,"2,416",1.478,0.003290
7892,FINITE FIELDS AND THEIR APPLICATIONS,"1,296",1.478,0.005710
7892,JOURNAL OF COLLEGE STUDENT DEVELOPMENT,"2,754",1.478,0.001660
7896,DEVELOPMENTAL NEUROPSYCHOLOGY,"2,933",1.477,0.001700
7896,DEVELOPMENTAL NEUROPSYCHOLOGY,"2,933",1.477,0.001700
7896,INTERNATIONAL JOURNAL OF CRASHWORTHINESS,"1,065",1.477,0.000870
7896,JOURNAL OF AGRICULTURAL METEOROLOGY,263,1.477,0.000320
7900,DATA & KNOWLEDGE ENGINEERING,"1,602",1.476,0.000930
7900,Health Promotion Journal of Australia,863,1.476,0.001020
7900,Journal of Southern Hemisphere Earth Systems Science,54,1.476,0.000240
7900,Journal of Toxicologic Pathology,478,1.476,0.000780
7900,Set-Valued and Variational Analysis,427,1.476,0.001900
7905,Discourse & Communication,498,1.475,0.000830
7905,ENVIRONMENTAL ARCHAEOLOGY,504,1.475,0.000780
7905,European Journal of International Law,"1,814",1.475,0.001770
7905,SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,"3,329",1.475,0.002440
7909,AMERICAN JOURNAL OF PERINATOLOGY,"3,788",1.474,0.007390
7909,EURASIP Journal on Image and Video Processing,"1,169",1.474,0.001690
7909,JOURNAL OF CAREER DEVELOPMENT,982,1.474,0.000950
7912,JOURNAL OF VETERINARY PHARMACOLOGY AND THERAPEUTICS,"2,655",1.473,0.002030
7912,Journal of Business Finance & Accounting,"2,542",1.473,0.001150
7912,Journal of Dynamics and Differential Equations,"1,434",1.473,0.003180
7915,EDUCATIONAL RESEARCH,"1,043",1.472,0.000840
7915,JOURNAL OF SOCIAL AND CLINICAL PSYCHOLOGY,"3,225",1.472,0.001820
7917,INDUSTRIAL HEALTH,"2,202",1.471,0.001410
7917,JOURNAL OF COMPUTATIONAL ACOUSTICS,508,1.471,0.000440
7917,Progress in Development Studies,680,1.471,0.000540
7920,European Financial Management,"1,522",1.470,0.001260
7920,JOURNAL OF INEQUALITIES AND APPLICATIONS,"3,932",1.470,0.007240
7920,JOURNAL OF INVASIVE CARDIOLOGY,"1,593",1.470,0.002420
7920,JOURNAL OF NEMATOLOGY,"2,719",1.470,0.001320
7920,Ships and Offshore Structures,965,1.470,0.001480
7925,ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES,671,1.469,0.000640
7925,JOURNAL OF OCEANOGRAPHY,"2,494",1.469,0.001650
7925,Revista de la Facultad de Agronomia de la Universidad del Zulia,214,1.469,0.000070
7928,Child Indicators Research,"1,156",1.468,0.002140
7928,JOURNAL OF ELECTRON SPECTROSCOPY AND RELATED PHENOMENA,"5,502",1.468,0.003640
7928,Journal of Comparative Effectiveness Research,613,1.468,0.001810
7928,LIBRARY QUARTERLY,623,1.468,0.000390
7928,Materials Research-Ibero-american Journal of Materials,"4,614",1.468,0.004310
7933,ANALYTICAL LETTERS,"3,963",1.467,0.002940
7933,CRITICAL ASIAN STUDIES,502,1.467,0.000990
7933,ETHOLOGY,"4,291",1.467,0.003480
7933,INTERNATIONAL JOURNAL OF NONLINEAR SCIENCES AND NUMERICAL SIMULATION,974,1.467,0.000760
7933,JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,"1,191",1.467,0.000680
7938,Arthropod-Plant Interactions,"1,038",1.466,0.001830
7938,JOURNAL OF RECEPTORS AND SIGNAL TRANSDUCTION,"1,202",1.466,0.001610
7938,SURFACE SCIENCE,"19,692",1.466,0.006430
7941,Natural Language Engineering,556,1.465,0.000580
7941,Natural Language Engineering,556,1.465,0.000580
7943,Australian Journal of Rural Health,"1,235",1.464,0.001200
7943,Australian Journal of Rural Health,"1,235",1.464,0.001200
7943,Forum of Mathematics Sigma,245,1.464,0.003760
7943,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,"1,399",1.464,0.001390
7943,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,"1,399",1.464,0.001390
7943,Journal of Drugs in Dermatology,"3,037",1.464,0.004580
7949,ADAPTED PHYSICAL ACTIVITY QUARTERLY,"1,171",1.462,0.000730
7949,JSLS-Journal of the Society of Laparoendoscopic Surgeons,"1,813",1.462,0.002060
7949,Nordic Psychology,231,1.462,0.000370
7949,Plant Biotechnology Reports,760,1.462,0.000760
7953,JOURNAL OF MOLLUSCAN STUDIES,"1,887",1.461,0.001650
7953,MINERALOGY AND PETROLOGY,"2,559",1.461,0.002210
7953,PROFESSIONAL PSYCHOLOGY-RESEARCH AND PRACTICE,"3,353",1.461,0.002040
7956,Medical Law Review,385,1.460,0.000630
7956,Medical Law Review,385,1.460,0.000630
7956,QUINTESSENCE INTERNATIONAL,"2,660",1.460,0.002120
7956,REVISTA DO INSTITUTO DE MEDICINA TROPICAL DE SAO PAULO,"2,016",1.460,0.002410
7956,SOFTWARE QUALITY JOURNAL,627,1.460,0.000780
7961,Journal of Refugee Studies,"1,580",1.459,0.001240
7961,Phytochemistry Letters,"2,711",1.459,0.004590
7963,AUSTRALIAN PSYCHOLOGIST,"1,245",1.458,0.001360
7963,Accountability in Research-Policies and Quality Assurance,414,1.458,0.000670
7963,DYSLEXIA,843,1.458,0.000780
7963,INVESTIGACION CLINICA,371,1.458,0.000180
7963,OPTOMETRY AND VISION SCIENCE,"6,080",1.458,0.006190
7963,Surgical Innovation,"1,164",1.458,0.002460
7969,Annals of Thoracic Medicine,735,1.456,0.000990
7969,CANADIAN METALLURGICAL QUARTERLY,"1,403",1.456,0.000830
7969,MATERIALES DE CONSTRUCCION,835,1.456,0.000700
7969,VISUAL COMPUTER,"2,122",1.456,0.002770
7973,OXIDATION OF METALS,"3,420",1.455,0.002030
7973,Orthodontics & Craniofacial Research,"1,032",1.455,0.001240
7973,STRENGTH AND CONDITIONING JOURNAL,"1,422",1.455,0.001430
7976,Journal of Instrumentation,"7,482",1.454,0.019840
7976,Nurse Educator,"1,017",1.454,0.001190
7976,Nurse Educator,"1,017",1.454,0.001190
7976,THEORETICAL POPULATION BIOLOGY,"3,776",1.454,0.002350
7980,Evidence & Policy,590,1.453,0.000880
7980,Management Communication Quarterly,"1,335",1.453,0.000910
7980,Small-Scale Forestry,572,1.453,0.000540
7983,Implant Dentistry,"2,340",1.452,0.002870
7983,SOCIAL COGNITION,"2,589",1.452,0.002270
7983,Top,466,1.452,0.001030
7986,JOURNAL OF THE WORLD AQUACULTURE SOCIETY,"2,616",1.451,0.001420
7987,Arquivos Brasileiros de Cardiologia,"3,065",1.450,0.002840
7987,Earth Science Informatics,503,1.450,0.001000
7987,REVIEWS IN INORGANIC CHEMISTRY,235,1.450,0.000230
7990,CANADIAN MINERALOGIST,"5,402",1.449,0.001640
7990,HEALTH,"1,011",1.449,0.001170
7990,HYSTRIX-Italian Journal of Mammalogy,836,1.449,0.001160
7993,CONCURRENCY AND COMPUTATION-PRACTICE & EXPERIENCE,"2,908",1.447,0.004210
7993,EVALUATION REVIEW,"1,143",1.447,0.000860
7993,Journal of Ophthalmology,"2,786",1.447,0.007370
7993,Palaeoworld,762,1.447,0.001440
7993,SIGNS,"3,529",1.447,0.001910
7998,European Journal of Political Economy,"1,833",1.446,0.003160
7998,HAU-Journal of Ethnographic Theory,759,1.446,0.003340
7998,International Journal of Civil Engineering,940,1.446,0.001110
7998,International Journal of Transitional Justice,699,1.446,0.000830
